Agent,Time,Method,Resource,Version,Status
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 14:36:46 GMT-0700 (PDT),GET,/,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:13:17 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:13:18 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:13:27 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:13:29 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:14:01 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:23:50 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:24:15 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:25:46 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:25:50 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:26:17 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:26:18 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:27:21 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:28:10 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:28:54 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:29:01 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,Thu Oct 12 2017 15:29:09 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:29:43 GMT-0700 (PDT),GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,function toISOString() { [native code] },GET,/logs,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:34:08 GMT-0700 (PDT),GET,/,HTTP/1.1,200
node-superagent/2.3.0,Thu Oct 12 2017 15:34:08 GMT-0700 (PDT),GET,/,HTTP/1.1,200
